fips,ruc93,ruc03,ruc13,metro93,metro03,metro13,year,fmr,tot_pop,black_pct,female_pct,county,stname,pay,employment,establishments,emp,unemp,long,lat,long_d,lat_d,return_katrina,exmpt_katrina,agi_katrina,return_katrina_eyer,exmpt_katrina_eyer,agi_katrina_eyer,return_katrina_eyer_noho,exmpt_katrina_eyer_noho,agi_katrina_eyer_noho,return_own,exmpt_own,agi_own,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,st_fips,st_abrv,st_name,cty_fips,cty_name,disasters,ihp,iap,pap,hmp,area_sqm
22089,0,1,1,metro,metro,metro,1995,477,NA,NA,NA,NA,NA,33352,20281,831,20287,1740,-90.35757335431146,29.91314982814965,-90.35757335431146,29.91314982814965,69,165,1997,0.007913751577015713,0.010138248847926268,0.007590327558552327,0.007913751577015713,0.010138248847926268,0.007590327558552327,16159,41224,627152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,089,St. Charles Parish,10,0,9,8,0,409.689
22095,1,1,1,metro,metro,metro,1995,477,NA,NA,NA,NA,NA,24932,11550,655,17414,2010,-90.50792113802291,30.112644133854058,-90.50792113802291,30.112644133854058,100,226,2341,0.011469205184080743,0.013886328725038402,0.008897825145003002,0.011469205184080743,0.013886328725038402,0.008897825145003002,11884,30812,396824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,095,St. John the Baptist Parish,9,0,8,7,0,349.357
22103,0,1,1,metro,metro,metro,1995,477,NA,NA,NA,NA,NA,19867,45667,3842,77131,5430,-89.96507421897307,30.40707395540083,-89.96507421897307,30.40707395540083,1444,3539,65206,0.16561532285812594,0.21745007680491552,0.2478392082037872,0.16561532285812594,0.21745007680491552,0.2478392082037872,54294,135638,2420186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,103,St. Tammany Parish,13,0,12,9,0,1112.279
22109,3,3,3,metro,metro,metro,1995,377,NA,NA,NA,NA,NA,24154,39377,2491,40150,2247,-90.83826892736919,29.44769871397419,-90.83826892736919,29.44769871397419,233,530,6559,0.02672324807890813,0.0325652841781874,0.024929874039331352,0.02672324807890813,0.0325652841781874,0.024929874039331352,28926,73371,926138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,109,Terrebonne Parish,11,0,10,8,1,1425.964
22051,0,1,1,metro,metro,metro,1996,482,NA,NA,NA,NA,NA,24098,205160,13001,224477,14207,-90.14520392992787,29.871744022448087,-90.14520392992787,29.871744022448087,2878,5382,87345,0.31577792407285493,0.31577094578737386,0.3097274526073913,0.31577792407285493,0.31577094578737386,0.3097274526073913,161437,354853,6031393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,051,Jefferson Parish,10,0,10,7,1,497.225
22057,3,3,3,metro,metro,metro,1996,385,NA,NA,NA,NA,NA,22413,26130,1813,37328,1545,-90.43786512111947,29.57240907169766,-90.43786512111947,29.57240907169766,270,513,7537,0.029624753127057275,0.030098568411171086,0.026726381708190607,0.029624753127057275,0.030098568411171086,0.026726381708190607,30038,74272,1074201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,057,Lafourche Parish,11,0,10,9,1,1204.53
22071,0,1,1,metro,metro,metro,1996,482,NA,NA,NA,NA,NA,27813,262320,13283,189844,18390,-89.92944735360277,30.069110849409217,-89.92944735360277,30.069110849409217,3753,5900,94138,0.4117840684660961,0.34616287256512557,0.3338155925760445,0.4117840684660961,0.34616287256512557,0.3338155925760445,152581,325966,4781135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,071,Orleans Parish,1,0,1,1,0,349.978
22075,1,1,1,metro,metro,metro,1996,482,NA,NA,NA,NA,NA,32345,17592,795,9893,673,-89.61071603949237,29.4372379556305,-89.61071603949237,29.4372379556305,10,25,238,0.0010972130787798991,0.0014667918329030745,8.43953674744509e-4,0.0010972130787798991,0.0014667918329030745,8.43953674744509e-4,8516,21064,283297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,075,Plaquemines Parish,7,0,7,6,0,1172.743
22087,0,1,1,metro,metro,metro,1996,482,NA,NA,NA,NA,NA,22341,15226,1120,29755,2512,-89.66554926474849,29.869183774780762,-89.66554926474849,29.869183774780762,49,91,913,0.005376344086021506,0.005339122271767191,0.0032375197690829275,0.005376344086021506,0.005339122271767191,0.0032375197690829275,23123,53121,741828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,087,St. Bernard Parish,10,0,10,8,0,531.22
22089,0,1,1,metro,metro,metro,1996,482,NA,NA,NA,NA,NA,34275,19666,872,21070,1709,-90.35757335431146,29.91314982814965,-90.35757335431146,29.91314982814965,86,206,3399,0.009436032477507132,0.012086364703121332,0.012052935043935235,0.009436032477507132,0.012086364703121332,0.012052935043935235,16673,42391,667779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,089,St. Charles Parish,10,0,9,8,0,409.689
