fips,ruc93,ruc03,ruc13,metro93,metro03,metro13
16005,5,3,3,nonmetro,metro,metro
16007,7,7,9,nonmetro,nonmetro,nonmetro
16009,8,6,6,nonmetro,nonmetro,nonmetro
16011,7,6,4,nonmetro,nonmetro,nonmetro
16013,7,7,7,nonmetro,nonmetro,nonmetro
16015,8,2,2,nonmetro,metro,metro
16017,6,6,6,nonmetro,nonmetro,nonmetro
16019,5,3,3,nonmetro,metro,metro
16021,9,7,7,nonmetro,nonmetro,nonmetro
16023,9,8,3,nonmetro,nonmetro,metro
16025,9,9,9,nonmetro,nonmetro,nonmetro
16027,2,2,2,metro,metro,metro
16029,7,6,6,nonmetro,nonmetro,nonmetro
16031,7,7,7,nonmetro,nonmetro,nonmetro
16033,9,8,9,nonmetro,nonmetro,nonmetro
16035,7,6,6,nonmetro,nonmetro,nonmetro
16037,9,9,8,nonmetro,nonmetro,nonmetro
16039,6,4,6,nonmetro,nonmetro,nonmetro
16041,7,3,3,nonmetro,metro,metro
16043,7,6,6,nonmetro,nonmetro,nonmetro
16045,6,2,2,nonmetro,metro,metro
16047,7,7,7,nonmetro,nonmetro,nonmetro
16049,7,6,6,nonmetro,nonmetro,nonmetro
16051,7,3,3,nonmetro,metro,metro
16053,7,7,7,nonmetro,nonmetro,nonmetro
16055,4,3,3,nonmetro,metro,metro
16057,7,4,4,nonmetro,nonmetro,nonmetro
16059,7,7,7,nonmetro,nonmetro,nonmetro
16061,9,8,8,nonmetro,nonmetro,nonmetro
16063,9,9,9,nonmetro,nonmetro,nonmetro
16065,7,6,4,nonmetro,nonmetro,nonmetro
16067,7,7,7,nonmetro,nonmetro,nonmetro
16069,5,3,3,nonmetro,metro,metro
16071,9,8,8,nonmetro,nonmetro,nonmetro
16073,8,2,2,nonmetro,metro,metro
16075,7,6,6,nonmetro,nonmetro,nonmetro
16077,7,3,6,nonmetro,metro,nonmetro
16079,7,6,6,nonmetro,nonmetro,nonmetro
16081,9,9,9,nonmetro,nonmetro,nonmetro
