FIPS10,year,fmr
01029,2016,633
01029,2017,662
01031,1983,300
01031,1985,311
01031,1986,264
01031,1987,270
01031,1988,277
01031,1989,378
01031,1990,386
01031,1991,396
01031,1992,396
01031,1993,405
01031,1994,428
01031,1995,421
01031,1996,427
01031,1997,432
01031,1998,441
01031,1999,447
01031,2000,447
01031,2001,451
01031,2002,463
01031,2003,477
01031,2004,477
01031,2005,437
01031,2006,450
01031,2007,468
01031,2008,496
01031,2009,530
01031,2010,552
01031,2011,551
01031,2012,524
01031,2013,630
01031,2014,598
01031,2015,616
01031,2016,584
01031,2017,661
01033,1983,321
01033,1985,332
01033,1986,332
01033,1987,339
01033,1988,348
01033,1989,353
01033,1990,361
01033,1991,370
01033,1992,382
01033,1993,392
01033,1994,375
01033,1995,385
01033,1996,398
01033,1997,410
01033,1998,421
01033,1999,429
01033,2000,431
01033,2001,438
01033,2002,451
01033,2003,462
01033,2004,464
01033,2005,472
01033,2006,486
01033,2007,506
01033,2008,537
01033,2009,574
01033,2010,598
01033,2011,598
01033,2012,587
01033,2013,584
01033,2014,636
01033,2015,609
01033,2016,619
01033,2017,673
01035,1983,289
01035,1985,300
01035,1986,288
01035,1987,294
01035,1988,302
01035,1989,306
01035,1990,313
01035,1991,321
01035,1992,332
01035,1993,340
01035,1994,265
01035,1995,258
01035,1996,332
01035,1997,336
01035,1998,343
01035,1999,347
01035,2000,347
01035,2001,350
01035,2002,359
01035,2003,370
01035,2004,370
01035,2005,392
01035,2006,435
01035,2007,453
01035,2008,481
01035,2009,514
01035,2010,536
01035,2011,536
01035,2012,586
01035,2013,584
01035,2014,566
01035,2015,599
01035,2016,569
01035,2017,621
01037,1983,269
01037,1985,279
01037,1986,261
01037,1987,267
01037,1988,274
01037,1989,278
01037,1990,284
01037,1991,291
01037,1992,301
01037,1993,308
01037,1994,296
01037,1995,288
01037,1996,332
01037,1997,336
01037,1998,343
01037,1999,347
01037,2000,347
01037,2001,350
01037,2002,359
01037,2003,370
01037,2004,370
01037,2005,420
01037,2006,435
01037,2007,453
01037,2008,481
01037,2009,514
01037,2010,536
01037,2011,536
01037,2012,524
01037,2013,584
01037,2014,566
01037,2015,599
01037,2016,579
01037,2017,683
01039,1983,300
01039,1985,311
01039,1986,264
01039,1987,270
01039,1988,277
01039,1989,281
01039,1990,287
01039,1991,294
01039,1992,304
01039,1993,311
01039,1994,274
01039,1995,272
01039,1996,332
01039,1997,336
01039,1998,343
01039,1999,347
01039,2000,347
01039,2001,350
01039,2002,359
01039,2003,370
01039,2004,370
01039,2005,404
01039,2006,435
01039,2007,453
01039,2008,481
01039,2009,514
01039,2010,536
01039,2011,536
01039,2012,499
01039,2013,584
01039,2014,566
01039,2015,599
01039,2016,569
01039,2017,621
01041,1983,300
01041,1985,311
01041,1986,249
01041,1987,275
01041,1988,282
01041,1989,286
01041,1990,292
01041,1991,299
01041,1992,309
01041,1993,316
01041,1994,265
01041,1995,258
01041,1996,332
01041,1997,336
01041,1998,343
01041,1999,347
01041,2000,347
01041,2001,350
01041,2002,359
01041,2003,370
01041,2004,370
01041,2005,434
01041,2006,447
01041,2007,465
01041,2008,494
01041,2009,528
01041,2010,550
01041,2011,550
01041,2012,519
01041,2013,584
01041,2014,575
01041,2015,599
01041,2016,569
01041,2017,621
01043,1983,244
01043,1985,254
01043,1986,319
01043,1987,326
01043,1988,335
01043,1989,340
01043,1990,347
01043,1991,356
01043,1992,368
01043,1993,377
01043,1994,331
01043,1995,321
01043,1996,332
01043,1997,336
01043,1998,343
01043,1999,347
01043,2000,347
01043,2001,350
01043,2002,359
01043,2003,370
01043,2004,370
01043,2005,444
01043,2006,457
01043,2007,475
01043,2008,503
01043,2009,538
01043,2010,560
01043,2011,560
01043,2012,513
01043,2013,588
01043,2014,577
01043,2015,611
01043,2016,604
01043,2017,652
01045,1983,298
01045,1985,309
01045,1986,363
01045,1987,371
01045,1988,381
01045,1989,386
01045,1990,394
01045,1991,404
01045,1992,418
01045,1993,429
01045,1994,370
01045,1995,353
01045,1996,365
01045,1997,376
01045,1998,386
01045,1999,394
01045,2000,396
01045,2001,403
01045,2002,415
01045,2003,425
01045,2004,426
01045,2005,435
01045,2006,435
01045,2007,453
01045,2008,481
01045,2009,514
01045,2010,536
01045,2011,536
01045,2012,499
01045,2013,585
01045,2014,566
01045,2015,600
01045,2016,580
01045,2017,635
01047,1983,269
01047,1985,279
01047,1986,288
01047,1987,294
01047,1988,302
01047,1989,306
01047,1990,313
01047,1991,321
01047,1992,332
01047,1993,340
01047,1994,326
01047,1995,310
01047,1996,332
01047,1997,336
01047,1998,343
01047,1999,347
01047,2000,347
01047,2001,350
01047,2002,359
01047,2003,370
01047,2004,370
01047,2005,433
01047,2006,446
01047,2007,464
01047,2008,491
01047,2009,525
01047,2010,547
01047,2011,547
01047,2012,510
01047,2013,613
01047,2014,566
01047,2015,599
01047,2016,569
01047,2017,621
01049,1983,271
01049,1985,281
01049,1986,300
01049,1987,307
01049,1988,315
01049,1989,319
01049,1990,326
01049,1991,334
01049,1992,345
01049,1993,353
01049,1994,305
01049,1995,293
01049,1996,332
01049,1997,336
01049,1998,343
01049,1999,347
01049,2000,347
01049,2001,350
01049,2002,359
01049,2003,370
01049,2004,370
01049,2005,421
01049,2006,435
01049,2007,453
01049,2008,481
01049,2009,514
01049,2010,536
01049,2011,536
01049,2012,499
01049,2013,584
01049,2014,589
01049,2015,703
01049,2016,595
01049,2017,797
01051,1983,269
01051,1985,279
01051,1986,336
01051,1987,343
01051,1988,352
01051,1989,357
01051,1990,365
01051,1991,374
01051,1992,387
01051,1993,397
01051,1994,456
01051,1995,444
01051,1996,459
01051,1997,473
01051,1998,486
01051,1999,496
01051,2000,499
01051,2001,507
01051,2002,522
01051,2003,535
01051,2004,537
01051,2005,583
01051,2006,599
01051,2007,623
01051,2008,660
01051,2009,706
01051,2010,735
01051,2011,735
01051,2012,723
01051,2013,790
01051,2014,710
01051,2015,788
01051,2016,788
01051,2017,822
01053,1983,315
01053,1985,326
01053,1986,243
01053,1987,248
01053,1988,254
01053,1989,257
01053,1990,262
01053,1991,269
01053,1992,278
01053,1993,285
01053,1994,284
01053,1995,276
01053,1996,332
01053,1997,336
01053,1998,343
01053,1999,347
01053,2000,347
01053,2001,350
01053,2002,359
01053,2003,370
01053,2004,370
01053,2005,405
01053,2006,435
01053,2007,453
01053,2008,481
01053,2009,514
01053,2010,536
01053,2011,536
01053,2012,499
01053,2013,605
01053,2014,566
01053,2015,599
01053,2016,569
01053,2017,621
01055,1983,244
01055,1985,254
01055,1986,288
01055,1987,294
01055,1988,302
01055,1989,306
01055,1990,313
01055,1991,321
01055,1992,332
01055,1993,341
01055,1994,330
01055,1995,318
01055,1996,338
01055,1997,348
01055,1998,357
01055,1999,364
01055,2000,366
01055,2001,372
01055,2002,383
01055,2003,392
01055,2004,393
01055,2005,470
01055,2006,484
01055,2007,504
01055,2008,534
01055,2009,570
01055,2010,594
01055,2011,593
01055,2012,612
01055,2013,657
01055,2014,596
01055,2015,622
01055,2016,636
01055,2017,716
01057,1983,312
01057,1985,323
01057,1986,257
01057,1987,263
01057,1988,270
01057,1989,274
01057,1990,280
01057,1991,287
01057,1992,297
01057,1993,304
01057,1994,289
01057,1995,281
01057,1996,332
01057,1997,336
01057,1998,343
01057,1999,347
01057,2000,347
01057,2001,350
01057,2002,359
01057,2003,370
01057,2004,370
01057,2005,358
01057,2006,435
01057,2007,453
01057,2008,481
01057,2009,514
01057,2010,536
01057,2011,536
01057,2012,499
01057,2013,584
01057,2014,566
01057,2015,599
01057,2016,569
01057,2017,621
01059,1983,267
01059,1985,277
01059,1986,255
01059,1987,261
01059,1988,268
01059,1989,272
01059,1990,278
01059,1991,285
01059,1992,294
01059,1993,301
01059,1994,300
01059,1995,292
01059,1996,332
01059,1997,336
01059,1998,343
01059,1999,347
01059,2000,347
01059,2001,350
01059,2002,359
01059,2003,370
01059,2004,370
01059,2005,402
01059,2006,435
01059,2007,453
01059,2008,481
01059,2009,514
01059,2010,536
01059,2011,536
01059,2012,499
01059,2013,584
01059,2014,573
01059,2015,599
01059,2016,569
01059,2017,621
01061,1983,300
01061,1985,311
01061,1986,264
01061,1987,270
01061,1988,277
01061,1989,281
01061,1990,287
01061,1991,294
01061,1992,304
01061,1993,311
01061,1994,265
01061,1995,258
01061,1996,332
01061,1997,336
01061,1998,343
01061,1999,347
01061,2000,347
01061,2001,350
01061,2002,359
01061,2003,370
01061,2004,370
01061,2005,412
01061,2006,449
01061,2007,467
01061,2008,497
01061,2009,531
01061,2010,553
01061,2011,552
01061,2012,578
01061,2013,584
01061,2014,566
01061,2015,635
01061,2016,647
01061,2017,656
01063,1983,312
01063,1985,323
01063,1986,257
01063,1987,263
01063,1988,270
01063,1989,274
01063,1990,280
01063,1991,287
01063,1992,297
01063,1993,304
01063,1994,208
01063,1995,258
01063,1996,332
01063,1997,336
01063,1998,343
01063,1999,347
01063,2000,347
01063,2001,350
01063,2002,359
01063,2003,370
01063,2004,370
01063,2005,417
01063,2006,586
01063,2007,610
01063,2008,649
01063,2009,694
01063,2010,723
01063,2011,722
01063,2012,754
01063,2013,788
01063,2014,815
01063,2015,757
01063,2016,569
01063,2017,621
01065,1983,312
01065,1985,323
01065,1986,257
01065,1987,263
01065,1988,270
01065,1989,274
01065,1990,280
01065,1991,287
01065,1992,297
01065,1993,304
01065,1994,265
01065,1995,258
01065,1996,332
01065,1997,336
01065,1998,343
01065,1999,347
01065,2000,347
01065,2001,350
01065,2002,359
01065,2003,370
01065,2004,370
01065,2005,417
01065,2006,586
01065,2007,610
01065,2008,649
01065,2009,694
01065,2010,723
01065,2011,722
01065,2012,754
01065,2013,788
01065,2014,815
01065,2015,757
01065,2016,804
01065,2017,782
01067,1983,300
01067,1985,311
01067,1986,264
01067,1987,270
01067,1988,277
01067,1989,281
01067,1990,287
01067,1991,294
01067,1992,304
01067,1993,311
01067,1994,308
01067,1995,299
01067,1996,332
01067,1997,336
01067,1998,343
01067,1999,347
01067,2000,347
01067,2001,350
01067,2002,359
01067,2003,370
01067,2004,370
01067,2005,401
01067,2006,435
01067,2007,453
01067,2008,481
01067,2009,514
01067,2010,536
01067,2011,536
01067,2012,499
01067,2013,584
01067,2014,566
01067,2015,599
01067,2016,580
01067,2017,621
01069,1983,298
01069,1985,309
01069,1986,363
01069,1987,371
01069,1988,381
01069,1989,386
01069,1990,394
01069,1991,404
01069,1992,418
01069,1993,429
01069,1994,370
01069,1995,353
01069,1996,365
01069,1997,376
01069,1998,386
01069,1999,394
01069,2000,396
01069,2001,403
01069,2002,415
01069,2003,425
01069,2004,426
01069,2005,435
01069,2006,449
01069,2007,467
01069,2008,497
01069,2009,531
01069,2010,553
01069,2011,552
01069,2012,578
01069,2013,584
01069,2014,566
01069,2015,635
01069,2016,647
01069,2017,656
01071,1983,271
01071,1985,281
01071,1986,300
01071,1987,307
01071,1988,315
01071,1989,319
01071,1990,326
01071,1991,334
01071,1992,345
01071,1993,353
01071,1994,329
01071,1995,316
01071,1996,332
01071,1997,336
01071,1998,343
01071,1999,347
01071,2000,347
01071,2001,350
01071,2002,359
01071,2003,370
01071,2004,370
01071,2005,402
01071,2006,435
01071,2007,453
01071,2008,481
01071,2009,514
01071,2010,536
01071,2011,536
01071,2012,499
01071,2013,584
01071,2014,566
01071,2015,599
01071,2016,571
01071,2017,644
01073,1983,327
01073,1985,339
01073,1986,365
01073,1987,373
01073,1988,383
01073,1989,370
01073,1990,378
01073,1991,403
01073,1992,417
01073,1993,428
01073,1994,440
01073,1995,433
01073,1996,447
01073,1997,460
01073,1998,472
01073,1999,481
01073,2000,519
01073,2001,528
01073,2002,543
01073,2003,557
01073,2004,559
01073,2005,577
01073,2006,581
01073,2007,604
01073,2008,690
01073,2009,698
01073,2010,735
01073,2011,786
01073,2012,750
01073,2013,785
01073,2014,743
01073,2015,773
01073,2016,840
01073,2017,866
01075,1983,312
01075,1985,323
01075,1986,257
01075,1987,263
01075,1988,270
01075,1989,274
01075,1990,280
01075,1991,287
01075,1992,297
01075,1993,304
01075,1994,265
01075,1995,258
01075,1996,332
01075,1997,336
01075,1998,343
01075,1999,347
01075,2000,347
01075,2001,350
01075,2002,359
01075,2003,370
01075,2004,370
01075,2005,385
01075,2006,435
01075,2007,453
01075,2008,481
01075,2009,514
01075,2010,536
01075,2011,536
01075,2012,499
01075,2013,584
01075,2014,566
01075,2015,599
01075,2016,569
01075,2017,621
01077,1983,321
01077,1985,332
01077,1986,332
01077,1987,339
01077,1988,348
01077,1989,353
01077,1990,361
01077,1991,370
01077,1992,382
01077,1993,392
01077,1994,375
01077,1995,385
01077,1996,398
01077,1997,410
01077,1998,421
01077,1999,429
01077,2000,431
01077,2001,438
01077,2002,451
01077,2003,462
01077,2004,464
01077,2005,472
01077,2006,486
01077,2007,506
01077,2008,537
01077,2009,574
01077,2010,598
01077,2011,598
01077,2012,587
01077,2013,584
01077,2014,636
01077,2015,609
01077,2016,619
01077,2017,673
01079,1983,267
01079,1985,277
01079,1986,319
01079,1987,326
01079,1988,335
01079,1989,340
01079,1990,347
01079,1991,356
01079,1992,368
01079,1993,378
01079,1994,398
01079,1995,392
01079,1996,405
01079,1997,417
01079,1998,428
01079,1999,436
01079,2000,438
01079,2001,445
01079,2002,458
01079,2003,469
01079,2004,471
01079,2005,474
01079,2006,488
01079,2007,508
01079,2008,541
01079,2009,579
01079,2010,603
01079,2011,602
01079,2012,583
01079,2013,618
01079,2014,595
01079,2015,655
01079,2016,632
01079,2017,640
01081,1983,303
01081,1985,314
01081,1986,327
01081,1987,334
01081,1988,343
01081,1989,348
01081,1990,356
01081,1991,365
01081,1992,377
01081,1993,386
01081,1994,444
01081,1995,436
01081,1996,442
01081,1997,447
01081,1998,457
01081,1999,463
01081,2000,463
01081,2001,471
01081,2002,485
01081,2003,497
01081,2004,499
01081,2005,510
01081,2006,525
01081,2007,546
01081,2008,580
01081,2009,620
01081,2010,647
01081,2011,647
01081,2012,697
01081,2013,663
01081,2014,724
01081,2015,813
01081,2016,748
01081,2017,798
01083,1983,289
01083,1985,300
01083,1986,272
01083,1987,278
01083,1988,285
01083,1989,289
01083,1990,295
01083,1991,302
01083,1992,312
01083,1993,319
01083,1994,474
01083,1995,466
01083,1996,481
01083,1997,495
01083,1998,508
01083,1999,518
01083,2000,521
01083,2001,530
01083,2002,545
01083,2003,559
01083,2004,561
01083,2005,523
01083,2006,538
01083,2007,560
01083,2008,597
01083,2009,638
01083,2010,665
01083,2011,665
01083,2012,661
01083,2013,650
01083,2014,689
01083,2015,711
01083,2016,727
01083,2017,746
01085,1983,269
01085,1985,279
01085,1986,249
01085,1987,275
01085,1988,282
01085,1989,286
01085,1990,292
01085,1991,299
01085,1992,309
01085,1993,316
01085,1994,287
01085,1995,279
01085,1996,332
01085,1997,336
01085,1998,343
01085,1999,347
01085,2000,347
01085,2001,350
01085,2002,359
01085,2003,370
01085,2004,370
01085,2005,392
01085,2006,599
01085,2007,623
01085,2008,660
01085,2009,706
01085,2010,735
01085,2011,735
01085,2012,723
01085,2013,790
01085,2014,710
01085,2015,788
01085,2016,788
01085,2017,822
01087,1983,269
01087,1985,279
01087,1986,279
01087,1987,293
01087,1988,301
01087,1989,305
01087,1990,312
01087,1991,320
01087,1992,331
01087,1993,339
01087,1994,388
01087,1995,377
01087,1996,383
01087,1997,387
01087,1998,395
01087,1999,400
01087,2000,400
01087,2001,404
01087,2002,415
01087,2003,427
01087,2004,427
01087,2005,437
01087,2006,450
01087,2007,468
01087,2008,496
01087,2009,530
01087,2010,552
01087,2011,551
01087,2012,582
01087,2013,689
01087,2014,566
01087,2015,599
01087,2016,569
01087,2017,621
01089,1983,344
01089,1985,356
01089,1986,366
01089,1987,374
01089,1988,384
01089,1989,389
01089,1990,397
01089,1991,407
01089,1992,421
01089,1993,432
01089,1994,474
01089,1995,466
01089,1996,481
01089,1997,495
01089,1998,508
01089,1999,518
01089,2000,521
01089,2001,530
01089,2002,545
01089,2003,559
01089,2004,561
01089,2005,523
01089,2006,538
01089,2007,560
01089,2008,597
01089,2009,638
01089,2010,665
01089,2011,665
01089,2012,661
01089,2013,650
01089,2014,689
01089,2015,711
01089,2016,727
01089,2017,746
01091,1983,303
01091,1985,314
01091,1986,288
01091,1987,294
01091,1988,302
01091,1989,306
01091,1990,313
01091,1991,321
01091,1992,332
01091,1993,340
01091,1994,265
01091,1995,258
01091,1996,332
01091,1997,336
01091,1998,343
01091,1999,347
01091,2000,347
01091,2001,350
01091,2002,359
01091,2003,370
01091,2004,370
01091,2005,417
01091,2006,435
01091,2007,453
01091,2008,481
01091,2009,514
01091,2010,536
01091,2011,536
01091,2012,499
01091,2013,584
01091,2014,566
01091,2015,599
01091,2016,569
01091,2017,621
01093,1983,312
01093,1985,323
01093,1986,255
01093,1987,261
01093,1988,268
01093,1989,272
01093,1990,278
01093,1991,285
01093,1992,294
01093,1993,301
01093,1994,265
01093,1995,258
01093,1996,332
01093,1997,336
01093,1998,343
01093,1999,347
01093,2000,347
01093,2001,350
01093,2002,359
01093,2003,370
01093,2004,370
01093,2005,399
01093,2006,435
01093,2007,453
01093,2008,481
01093,2009,514
01093,2010,536
01093,2011,536
01093,2012,499
01093,2013,584
01093,2014,566
01093,2015,599
01093,2016,569
01093,2017,621
01095,1983,280
01095,1985,280
01095,1986,280
01095,1987,286
01095,1988,294
01095,1989,298
01095,1990,304
01095,1991,312
01095,1992,322
01095,1993,330
01095,1994,342
01095,1995,333
01095,1996,338
01095,1997,342
01095,1998,349
01095,1999,354
01095,2000,354
01095,2001,358
01095,2002,367
01095,2003,378
01095,2004,378
01095,2005,452
01095,2006,465
01095,2007,484
01095,2008,514
01095,2009,549
01095,2010,572
01095,2011,571
01095,2012,502
01095,2013,662
01095,2014,568
01095,2015,599
01095,2016,579
01095,2017,621
01097,1983,309
01097,1985,320
01097,1986,378
01097,1987,386
01097,1988,396
01097,1989,401
01097,1990,410
01097,1991,421
01097,1992,435
01097,1993,447
01097,1994,401
01097,1995,398
01097,1996,411
01097,1997,423
01097,1998,473
01097,1999,482
01097,2000,485
01097,2001,493
01097,2002,507
01097,2003,521
01097,2004,523
01097,2005,561
01097,2006,567
01097,2007,590
01097,2008,628
01097,2009,671
01097,2010,700
01097,2011,699
01097,2012,714
01097,2013,762
01097,2014,770
01097,2015,773
01097,2016,788
01097,2017,892
01099,1983,289
01099,1985,300
01099,1986,288
01099,1987,294
01099,1988,302
01099,1989,306
01099,1990,313
01099,1991,321
01099,1992,332
01099,1993,340
01099,1994,293
01099,1995,285
01099,1996,332
01099,1997,336
01099,1998,343
01099,1999,347
