disaster,state,county,year,amount,structure,type,amount_sum
1768,Wisconsin,NA,2008,216000,2-4 Family,Rental,6139111
1768,Wisconsin,Richland,2008,190000,Single Family,Owner Occupied - Principal Residence,190000
1768,Wisconsin,Rock,2008,382368,Single Family,Owner Occupied - Principal Residence,692470
1768,Wisconsin,Sauk,2008,223507,Single Family,Owner Occupied - Principal Residence,4505882
1835,Alabama,Autauga,2009,248625,Single Family,Owner Occupied - Principal Residence,274875
1831,Florida,NA,2009,222485,Single Family,Owner Occupied - Principal Residence,285046
1858,Georgia,Chattooga,2009,25000,Other (Specify in Comments),Other (Specify in Comments),1237886
1833,Georgia,Decatur,2009,1523065,Single Family,Owner Occupied - Principal Residence,1523065
1858,Georgia,NA,2009,102828,Single Family,Rental,816977
1828,Indiana,Marshall,2009,288132,Single Family,Owner Occupied - Principal Residence,429327
1828,Indiana,Morgan,2009,181500,Single Family,Owner Occupied - Principal Residence,605894
1818,Kentucky,Marshall,2009,150000,Non-residential - Public,Other (Specify in Comments),150000
1818,Kentucky,NA,2009,197067,Single Family,Owner Occupied - Principal Residence,444833
1841,Kentucky,Pike,2009,78300,Manufactured Home,Rental,1899436
1841,Kentucky,Rowan,2009,64000,2-4 Family,Rental,633197
1875,Maryland,Calvert,2009,1,Single Family,Owner Occupied - Principal Residence,9
1830,Minnesota,Clay,2009,223410,Single Family,Owner Occupied - Principal Residence,1469390
1830,Minnesota,NA,2009,213356,Single Family,Owner Occupied - Principal Residence,252756
1830,Minnesota,Norman,2009,128317,Single Family,Owner Occupied - Principal Residence,264317
1837,Mississippi,NA,2009,20000,Single Family,Owner Occupied - Principal Residence,20000
1822,Missouri,St. Louis,2009,112900,Single Family,Owner Occupied - Principal Residence,112900
1829,North Dakota,Barnes,2009,180500,Single Family,Owner Occupied - Principal Residence,350106
1829,North Dakota,Emmons,2009,61000,Single Family,Rental,187264
1829,North Dakota,Hettinger,2009,28000,Single Family,Owner Occupied - Secondary Residence,179138
1829,North Dakota,NA,2009,222232,Single Family,Owner Occupied - Principal Residence,1799371
1829,North Dakota,Nelson,2009,60870,Single Family,Owner Occupied - Principal Residence,60870
1829,North Dakota,Ramsey,2009,818500,Single Family,Owner Occupied - Principal Residence,818500
1856,Tennessee,Giles,2009,189533,Single Family,Owner Occupied - Principal Residence,189533
1862,Virginia,Gloucester,2009,119000,Single Family,Owner Occupied - Principal Residence,249000
1874,Virginia,NA,2009,128300,Single Family,Owner Occupied - Secondary Residence,128300
1817,Washington,NA,2009,570336,Manufactured Home,Rental,2156849
1817,Washington,Whatcom,2009,65824,Single Family,Owner Occupied - Principal Residence,65824
1838,West Virginia,Harrison,2009,191000,Single Family,Owner Occupied - Principal Residence,191000
1838,West Virginia,Logan,2009,45000,Single Family,Owner Occupied - Principal Residence,427000
1838,West Virginia,McDowell,2009,14000,Single Family,Owner Occupied - Principal Residence,75739
1881,West Virginia,NA,2009,112000,Single Family,Rental,751471
1838,West Virginia,Wyoming,2009,131124,Single Family,Owner Occupied - Principal Residence,872931
1896,Delaware,NA,2010,161436,Single Family,Owner Occupied - Principal Residence,161436
1880,Iowa,Delaware,2010,58786,Single Family,Owner Occupied - Principal Residence,547949
1930,Iowa,Dubuque,2010,54498,Single Family,Owner Occupied - Principal Residence,759665
1880,Iowa,Jasper,2010,9165,Manufactured Home,Owner Occupied - Principal Residence,52921
1930,Iowa,Jones,2010,312928,Other (Specify in Comments),Other (Specify in Comments),666338
1880,Iowa,Polk,2010,155210,2-4 Family,Rental,5080428
1930,Iowa,Pottawattamie,2010,1479551,Single Family,Owner Occupied - Principal Residence,1860051
1880,Iowa,Webster,2010,285663,Single Family,Owner Occupied - Principal Residence,711017
1912,Kentucky,Christian,2010,115232,Single Family,Owner Occupied - Principal Residence,115232
1912,Kentucky,McCracken,2010,33533,Single Family,Owner Occupied - Principal Residence,602832
1921,Minnesota,Blue Earth,2010,59500,Single Family,Owner Occupied - Principal Residence,59500
1941,Minnesota,Dakota,2010,177300,Single Family,Owner Occupied - Principal Residence,177300
1921,Minnesota,Goodhue,2010,94200,Single Family,Owner Occupied - Principal Residence,94200
1941,Minnesota,Nicollet,2010,81196,Single Family,Owner Occupied - Principal Residence,81196
1921,Minnesota,Olmsted,2010,388200,Single Family,Owner Occupied - Principal Residence,430400
1900,Minnesota,Rice,2010,53900,Single Family,Owner Occupied - Principal Residence,53900
1941,Minnesota,Stearns,2010,86500,Single Family,Owner Occupied - Principal Residence,86500
1921,Minnesota,Wabasha,2010,24000,Single Family,Owner Occupied - Principal Residence,1287223
1924,Nebraska,Douglas,2010,30500,Single Family,Other (Specify in Comments),146500
1957,New York,Tioga,2010,20517,Single Family,Owner Occupied - Principal Residence,1758420
1898,Pennsylvania,Allegheny,2010,50000,2-4 Family,Rental,144504
1898,Pennsylvania,Beaver,2010,88281,Single Family,Rental,324211
1898,Pennsylvania,Columbia,2010,78640,Single Family,Owner Occupied - Principal Residence,78640
1898,Pennsylvania,Dauphin,2010,58219,Single Family,Other (Specify in Comments),58219
1898,Pennsylvania,Huntingdon,2010,249500,Single Family,Owner Occupied - Principal Residence,249500
1898,Pennsylvania,Luzerne,2010,51000,Single Family,Owner Occupied - Principal Residence,1398779
1898,Pennsylvania,Lycoming,2010,120000,Single Family,Owner Occupied - Principal Residence,225677
